Timestamp,What do you have for breakfast most weekdays?,(Optional) Anything else you'd like to add?
12/3/2024 20:41:31,☕️ Nothing / just coffee,
12/3/2024 20:46:41,"🍌 Something quick / minimal prep (granola bar, microwave a thing)",
12/3/2024 20:52:14,☕️ Nothing / just coffee,Coffee coffee
12/3/2024 21:03:22,☕️ Nothing / just coffee,
12/3/2024 21:04:41,☕️ Nothing / just coffee,"I have an early lunch around 10/11am because I go to work at 6am. I guess that could be considered breakfast for someone who goes to work a regular 9-5 though lol I usually eat lunch foods though. Salads, wraps, etc "
12/3/2024 21:27:43,🍳 I prepare/cook something (includes night before),Overnight protein oats
12/3/2024 21:32:30,"🍌 Something quick / minimal prep (granola bar, microwave a thing)",Cereal or bagel with cream cheese 
12/3/2024 21:36:46,🍳 I prepare/cook something (includes night before),Small oatmeal with protein powder. One banana and one slice of bacon
12/3/2024 21:45:05,🍳 I prepare/cook something (includes night before),https://youtube.com/shorts/jSc0gNqWFI0?si=BeyC7fwoBa5YE1Di
12/3/2024 21:45:16,"🍌 Something quick / minimal prep (granola bar, microwave a thing)","My plain bagel (toasted, of course) with plain cream cheese is a very cherished part of my day. Have had one everyday for the past several years (except when traveling)."
12/3/2024 21:47:43,🍳 I prepare/cook something (includes night before),Eggs
12/3/2024 21:54:07,☕️ Nothing / just coffee,
12/3/2024 21:55:15,"🍌 Something quick / minimal prep (granola bar, microwave a thing)",Cinnamon toast and a diet Dr Pepper 
12/3/2024 21:57:11,"🍌 Something quick / minimal prep (granola bar, microwave a thing)","Overnight oats, somewhere in between preparing the night before but very quick "
12/3/2024 21:58:17,☕️ Nothing / just coffee,Coffee and cigarette 
12/3/2024 21:58:24,"🍌 Something quick / minimal prep (granola bar, microwave a thing)",
12/3/2024 22:20:42,☕️ Nothing / just coffee,
12/3/2024 22:23:48,🍳 I prepare/cook something (includes night before),"My fav meal of the day. Pancakes, eggs, yogurt and granola, bacon, sausage, hashbrowns U NAME IT"
12/3/2024 22:30:52,☕️ Nothing / just coffee,
12/3/2024 22:41:12,🍳 I prepare/cook something (includes night before),"smooothieee! its the constant, with tonne of protein."
12/3/2024 22:47:06,☕️ Nothing / just coffee,
12/3/2024 22:50:04,🍳 I prepare/cook something (includes night before),
12/3/2024 22:52:44,☕️ Nothing / just coffee,
12/3/2024 23:12:26,☕️ Nothing / just coffee,
12/3/2024 23:59:47,☕️ Nothing / just coffee,
12/4/2024 0:14:35,☕️ Nothing / just coffee,
12/4/2024 1:20:58,"🍌 Something quick / minimal prep (granola bar, microwave a thing)",Oatmeal in the microwave - game changer 
12/4/2024 2:51:19,☕️ Nothing / just coffee,
12/4/2024 4:27:44,"🍌 Something quick / minimal prep (granola bar, microwave a thing)",Scrambled eggs
12/4/2024 6:46:04,"🍌 Something quick / minimal prep (granola bar, microwave a thing)",I blend up a smoothie or have cereal 
12/4/2024 8:05:20,🍳 I prepare/cook something (includes night before),Eggs toast black coffee
12/4/2024 8:12:57,🍳 I prepare/cook something (includes night before),"Not super important. My mom prepares it, and I probably wouldn’t eat much breakfast were it not for that. A typical breakfast for me includes some kind of fruit, some pancakes, and a hard-boiled egg."
12/4/2024 8:39:07,"🍌 Something quick / minimal prep (granola bar, microwave a thing)",
12/4/2024 8:59:10,"🍌 Something quick / minimal prep (granola bar, microwave a thing)","Chopped or defrosted frozen fruit w/ yogurt or cottage cheese and a spoonful of muesli + gallons of coffee. Not cooking, but not a granola bar, either."
12/4/2024 9:04:07,🍳 I prepare/cook something (includes night before),I'm a egg and veggies person now but for YEARS I made cheese quesadillas every single morning
12/4/2024 9:04:14,🍳 I prepare/cook something (includes night before),scrambled eggs and shredded cheese in the microwave while green tea brews and Heidelburg bread with grassfed butter.  Sundays I cap it off with a shot of cold brew coffee liquor in a coke.
12/4/2024 9:12:49,"🍌 Something quick / minimal prep (granola bar, microwave a thing)",
12/4/2024 9:16:24,"🍌 Something quick / minimal prep (granola bar, microwave a thing)",Meal replacement shakes
12/4/2024 9:26:15,🍳 I prepare/cook something (includes night before),
12/4/2024 9:42:17,🍳 I prepare/cook something (includes night before),"Wheat toast, fried egg, almond milk."
12/4/2024 9:45:31,☕️ Nothing / just coffee,
12/4/2024 9:46:40,"🍌 Something quick / minimal prep (granola bar, microwave a thing)",
12/4/2024 9:49:14,"🍌 Something quick / minimal prep (granola bar, microwave a thing)",
12/4/2024 10:09:33,"🍌 Something quick / minimal prep (granola bar, microwave a thing)",About half the time I don't have anything
12/4/2024 11:33:16,🍳 I prepare/cook something (includes night before),"I ALWAYS eat breakfast. Never leave my house without eating. My staples are: 
- Ham & Cheese sandwich (fried egg optional)
- 2 eggs with toast or hashbrowns 
- oatmeal with fruit, nuts and cheese (or egg)

Also, I have a coffee every morning.

Having 3 meals a day is a non-negotiable for me."
12/4/2024 12:02:59,☕️ Nothing / just coffee,
12/4/2024 12:37:56,☕️ Nothing / just coffee,
12/4/2024 13:30:18,🍳 I prepare/cook something (includes night before),
12/4/2024 13:42:44,🍳 I prepare/cook something (includes night before),Steel cut oats with tryout and yoghurt. Not the quick kind either
12/4/2024 15:50:34,"🍌 Something quick / minimal prep (granola bar, microwave a thing)",Coffee and a bagel is my usual routine; filling and easy to prepare
12/4/2024 16:21:59,"🍌 Something quick / minimal prep (granola bar, microwave a thing)",Cold Hawaiian pizza is the best breakfast food. I said what I said.
12/4/2024 18:10:26,🍳 I prepare/cook something (includes night before),
12/4/2024 18:40:45,☕️ Nothing / just coffee,
12/4/2024 19:17:35,"🍌 Something quick / minimal prep (granola bar, microwave a thing)",
12/4/2024 20:07:54,"🍌 Something quick / minimal prep (granola bar, microwave a thing)","Can't skip it, but don't have time to make it; cereal and granola have my heart!"
12/4/2024 21:30:08,🍳 I prepare/cook something (includes night before),
12/4/2024 21:31:52,"🍌 Something quick / minimal prep (granola bar, microwave a thing)",
12/4/2024 21:32:02,🍳 I prepare/cook something (includes night before),
12/4/2024 22:17:48,🍳 I prepare/cook something (includes night before),Either skip and just have coffee or overnight oats -- I'll mix up a batch on the weekend and eat it all week
12/4/2024 22:18:04,"🍌 Something quick / minimal prep (granola bar, microwave a thing)","Varies not the same every day. Most common is toast & fruit, and seasonally: oatmeal or quick poached egg with toast in winter, granola & yogurt & berries in summer, cereal with berries in summer
Big cooked breakfast (pancakes, waffles, eggs etc. one or two times month on weekends )"
12/4/2024 23:08:52,"🍌 Something quick / minimal prep (granola bar, microwave a thing)","Coffee every morning, and bananas some mornings. Protein bar on rare occasions "
12/5/2024 0:33:58,☕️ Nothing / just coffee,
12/5/2024 12:53:50,"🍌 Something quick / minimal prep (granola bar, microwave a thing)",my go to is half of a lemon quest bar and a lemon fiber bar with two cups of black coffee :)
12/5/2024 13:31:09,"🍌 Something quick / minimal prep (granola bar, microwave a thing)",
12/5/2024 14:02:17,🍳 I prepare/cook something (includes night before),
